"","ID","Presa","Grupo.funcional.presa","Depredador","Grupo.funcional.depredador","Estrategia","Fuente","Expertise.depredador","Expertise.presa","Referencia","Enlace","Referente"
"38",184,"Munida_gregaria","Malacostraca","Spheniscus_magellanicus_female","Sphenisciformes","","Heterótrofo","Aves marinas","Crustaceos",11,"https://doi.org/10.3354/meps11689",NA
"39",185,"Loligo_gahi","Cephalopoda ","Spheniscus_magellanicus_male","Sphenisciformes","","Heterótrofo","Aves marinas","Cefalopodos",11,"https://doi.org/10.3354/meps11689",NA
"40",186,"Loligo_gahi","Cephalopoda ","Spheniscus_magellanicus_female","Sphenisciformes","","Heterótrofo","Aves marinas","Cefalopodos",11,"https://doi.org/10.3354/meps11689",NA
"41",187,"Engraulidae*","Clupeiformes ","Spheniscus_magellanicus_male","Sphenisciformes","","Heterótrofo","Aves marinas","Sardinas",11,"https://doi.org/10.3354/meps11689",NA
"42",188,"Engraulidae*","Clupeiformes ","Spheniscus_magellanicus_female","Sphenisciformes","","Heterótrofo","Aves marinas","Sardinas",11,"https://doi.org/10.3354/meps11689",NA
"43",449,"Sprattus_fuegensis","Clupeiformes ","Aves","","Cazador","Heterótrofo","Aves marinas","Sardinas",15,"https://doi.org/10.1007/s00300-018-2394-2",NA
"44",450,"Munida_gregaria","Malacostraca","Aves","","Cazador","Heterótrofo","Aves marinas","Crustaceos peracaridos",15,"https://doi.org/10.1007/s00300-018-2394-2",NA
"45",455,"Munida_gregaria","Malacostraca","Spheniscus_magellanicus","Sphenisciformes","Cazador","Heterótrofo","Aves marinas","Crustaceos peracaridos",16,"https://doi.org/10.1111/ibi.12547",NA
"46",456,"Sprattus_fuegensis","Clupeiformes ","Spheniscus_magellanicus","Sphenisciformes","Cazador","Heterótrofo","Aves marinas","Sardinas",16,"https://doi.org/10.1111/ibi.12547",NA
"47",457,"Loligo_gahi","Cephalopoda ","Spheniscus_magellanicus","Sphenisciformes","Cazador","Heterótrofo","Aves marinas","Cefalopodos",16,"https://doi.org/10.1111/ibi.12547",NA
"48",505,"Eudyptes_filholi","Sphenisciformes","Phalcoboenus_australis","Falconiformes","Cazador","Heterótrofo","Aves marinas","Aves marinas",21,"https://doi.org/10.1007/s00300-021-02908-2",NA
