"","ID","Presa","Grupo.funcional.presa","Depredador","Grupo.funcional.depredador","Estrategia","Fuente","Expertise.depredador","Expertise.presa","Referencia","Enlace","Referente"
"51",95,"Patagonotothen_sima","Perciformes","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"52",96,"Patagonotothen_tessellata","Perciformes","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"53",110,"Odonthestes*","Atheriniformes","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"54",114,"Salilota_australis","Gadiformes ","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"55",115,"Nototeniidae*","Perciformes","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"56",116,"Micromesistius_australis","Gadiformes ","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"57",117,"Genypterus_blacodes","Ophidiiformes","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"58",122,"Salilota_australis","Gadiformes ","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"59",124,"Cottoperca_gobio","Gadiformes ","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"60",125,"Coelorinchus_fasciatus","Gadiformes ","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"61",126,"Iluocoetes_fimbriatus","Perciformes","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"62",127,"Cottunculus_granulosus","Perciformes","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"63",129,"Genypterus_blacodes","Ophidiiformes","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"64",130,"Nototeniidae*","Perciformes","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"65",131,"Micromesistius_australis","Gadiformes ","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"66",132,"Patagonotothen_ramsayi","Perciformes","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"67",133,"Pseudocythus_maculatus","Zeiformes ","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"68",134,"Myctophidae* ","Myctophiformes ","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"69",136,"Eleginops_maclovinus","Perciformes","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"70",137,"Zoarcidae*","Perciformes","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"71",138,"Patagonotothen* ","Perciformes","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"72",139,"Patagonotothen_sima","Perciformes","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"73",140,"Patagonotothen_tessellata","Perciformes","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"74",141,"Odonthestes*","Atheriniformes","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"75",154,"Odonthestes*","Atheriniformes","Phocoena_spinipinnis","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"76",158,"Salilota_australis","Gadiformes ","Phocoena_spinipinnis","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"77",159,"Nototeniidae*","Perciformes","Phocoena_spinipinnis","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"78",160,"Micromesistius_australis","Gadiformes ","Phocoena_spinipinnis","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"79",161,"Genypterus_blacodes","Ophidiiformes","Phocoena_spinipinnis","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"80",193,"Champsocephalus_aceratus","Perciformes","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"81",205,"Micromesistius_australis","Gadiformes ","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"82",208,"Gobionotothen_gibberifrons","Perciformes ","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"83",209,"Chaenocephalus_aceratus","Perciformes ","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"84",210,"Champsocephalus_gunnari","Perciformes ","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"85",211,"Chionodraco_rastrospinosus","Perciformes ","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"86",212,"Lepidonotothen_kempi","Perciformes ","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"87",213,"Nototheniops_larseni","Perciformes ","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"88",214,"Pseudochaenichthys_georgianus","Perciformes ","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"89",219,"Champsocephalus_aceratus","Perciformes","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
"90",231,"Micromesistius_australis","Gadiformes ","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces",13,"",NA
