"","ID","Presa","Grupo.funcional.presa","Depredador","Grupo.funcional.depredador","Estrategia","Fuente","Expertise.depredador","Expertise.presa","Referencia","Enlace","Referente"
"56",224,"Histioteuthis_atlantica","Cephalopoda ","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"57",225,"Histioteuthis_macrohista","Cephalopoda ","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"58",226,"Gonatus_antarcticus","Cephalopoda","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"59",227,"Kondakovia_longimana","Cephalopoda ","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"60",228,"Batoteuthis_skolops","Cephalopoda ","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"61",229,"Galiteuthis_glacialis","Cephalopoda ","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"62",241,"Loligo_gahi","Cephalopoda ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"63",242,"Ilex_argentinus","Cephalopoda ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"64",246,"Galiteuthis_glacialis","Cephalopoda ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"65",249,"Taonius*","Cephalopoda ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"66",250,"Histioteuthis_atlantica","Cephalopoda ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"67",251,"Histioteuthis_macrohista","Cephalopoda ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"68",252,"Gonatus_antarcticus","Cephalopoda","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"69",253,"Kondakovia_longimana","Cephalopoda ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"70",254,"Batoteuthis_skolops","Cephalopoda ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"71",255,"Galiteuthis_glacialis","Cephalopoda ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"72",267,"Loligo_gahi","Cephalopoda ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"73",268,"Ilex_argentinus","Cephalopoda ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"74",272,"Galiteuthis_glacialis","Cephalopoda ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"75",275,"Taonius*","Cephalopoda ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"76",276,"Histioteuthis_atlantica","Cephalopoda ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"77",277,"Histioteuthis_macrohista","Cephalopoda ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"78",278,"Gonatus_antarcticus","Cephalopoda","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
