resource,consumer
Exosphaeroma gigas,Paranotothenia magellanica
Exosphaeroma gigas,Austrolycus depressiceps
Fissurella oriens,Anasterias antarctica
Fissurella oriens,Asterina fimbriata
Fissurella oriens,Cosmasterias lurida
Gaimardia trapesina,Anasterias antarctica
Gaimardia trapesina,Arbacia dufresnii
Gaimardia trapesina,Paranotothenia magellanica
Gaimardia trapesina,Asterina fimbriata
Gaimardia trapesina,Cosmasterias lurida
Halicarcinus planatus ,Anasterias antarctica
Halicarcinus planatus ,Eurypodius latreillii
Halicarcinus planatus ,Pseudechinus magellanicus
Halicarcinus planatus ,Xymenopsis muriciformis 
Halicarcinus planatus ,Patagonotothen cornucola
Halicarcinus planatus ,Cottoperca gobio
Halicarcinus planatus ,Patagonotothen longipes
Halicarcinus planatus ,Patagonotothen tessellata
Halicarcinus planatus ,Patagonotothen brevicauda brevicauda
Halicarcinus planatus ,Asterina fimbriata
Halicarcinus planatus ,Austrolycus depressiceps
Halicarcinus planatus ,Cosmasterias lurida
Halicarcinus planatus ,Eleginops maclovinus
Halicarcinus planatus ,Lithodes santolla
Laevilitorina caliginosa,Anasterias antarctica
Laevilitorina caliginosa,Nacella deaurata
Laevilitorina caliginosa,Nacella magellanica
Laevilitorina caliginosa,Harpagifer bispinis
Laevilitorina caliginosa,Paranotothenia magellanica
Mytilus edulis chilensis,Anasterias antarctica
Mytilus edulis chilensis,Eurypodius latreillii
Mytilus edulis chilensis,Nacella deaurata
Mytilus edulis chilensis,Nacella magellanica
Mytilus edulis chilensis,Pagurus comptus
Mytilus edulis chilensis,Pseudechinus magellanicus
Mytilus edulis chilensis,Trophon geversianus
Mytilus edulis chilensis,Xymenopsis muriciformis 
Mytilus edulis chilensis,Patagonotothen cornucola
Mytilus edulis chilensis,Peltarion spinosulum
Mytilus edulis chilensis,Patagonotothen longipes
Mytilus edulis chilensis,Patagonotothen tessellata
Mytilus edulis chilensis,Arbacia dufresnii
Mytilus edulis chilensis,Paralomis granulosa
Mytilus edulis chilensis,Lithodes santolla
Nacella deaurata,Anasterias antarctica
Nacella deaurata,Trophon geversianus
Nacella deaurata,Xymenopsis muriciformis 
Nacella deaurata,Nemertea
Nacella deaurata,Patagonotothen tessellata
Nacella deaurata,Austrolycus depressiceps
Nacella deaurata,Eleginops maclovinus
Nacella magellanica,Anasterias antarctica
