ID,Presa,Grupo funcional presa,Expertise presa,Depredador,Grupo funcional depredador,Expertise depredador,Estrategia,Fuente,Referencia,Enlace,Observaciones
55,Patagonotothen_ramsayi,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
56,Zeiformes,Zeiformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
57,Myctophidae,Myctophiformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
58,Bathyraja_macloviana,Rajiformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
59,Nototheniidae,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,Infered from Eleginops_maclovinus
60,Zoarcidae,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
61,Patagonotothen_spp,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
62,Nototheniidae_spp,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
63,Micromesistius_australis,Gadiformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
64,Patagonotothen_ramsayi,Perciformes,Peces,Pseudorca_crassidens,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Riccialdelli, L. et al_2010",https://doi.org/10.3354/meps08826,
