"ID","Filum","Clase","Orden","Familia","Género","Especie trófica","Nombre común","Hábitat","Dominio","Referencia",""
"72","Mollusca","Gastropoda","Neogastropoda","Volutidae","Odontocymbiola","Odontocymbiola","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"73","Bryozoa","Gymnolaemata ","Cheilostomatida ","Flustridae","N/A","Flustridae","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"74","Arthropoda","Malacostraca","Isopoda","Serolidae","N/A","Serolidae","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"75","Rhodophyta ","Florideophyceae","Gelidiales ","Gelidiaceae","Gellidus","Gellidus_rudis","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"76","Echinodermata","Asteroidea","Forcipulatida ","Heliasteridae","Labidiaster","Labidiaster_radiosus","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"77","Echinodermata","Asteroidea","Valvatida ","Poraniidae","Porania","Porania_antartica","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"78","Cnidaria","Anthozoa","Malacalcyonacea ","Alcyoniidae","Alcyonidium","Alcyonidium_australe","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"79","Echinodermata","Asteroidea","Valvatida","Asterinidae ","Ganeria","Ganeria","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"80","Echinodermata","Asteroidea","Valvatida","Odontasteridae","Asterodon","Asterodon","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"81","Arthropoda","Malacostraca ","Decapoda","Campylonotidae","Campylonotus","Campylonotus_vagans","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"82","Echinodermata","Asteroidea","Paxillosida ","Astropectinidae","Bathybiaster","Bathybiaster_loripes","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"83","Mollusca","Gastropoda","Neogastropoda ","Fasciolariidae","Trophon","Trophon_geversianus","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"84","Mollusca","Gastropoda","Neogastropoda ","Conidae","Ximeniconus","Ximeniconus_muriciformis","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"85","","","","","Carberea","Carberea_darwini","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"86","Cnidaria","Hydrozoa","Anthoathecata","Stylasteridae ","Errinopora","","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"87","Porifera","Demospongiae ","Axinellida","Axinellidae","N/A","Axinellidae","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"88","Porifera","Demospongiae ","Tetractinellida","Tetillidae ","Cinachyra","Cinachyra","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"89","Porifera","Demospongiae ","Poecilosclerida","Mycalidae ","Mycale","Mycale_magellonica","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"90","Bryozoa","Gymnolaemata ","Cheilostomatida","Smittinidae ","Parasmittina","Parasmittina","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"91","Bryozoa","Gymnolaemata ","Cheilostomatida","Smittinidae","N/A","Smittinidae","","","","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
