"ID","Filum","Clase","Orden","Familia","Género","Especie trófica","Nombre común","Hábitat","Dominio","Referencia",""
"282","Mollusca","Cephalopoda ","Oegopsida","Histioteuthidae ","Histioteuthis","Histioteuthis_atlantica","","","","Riccialdelli, L., Viola, M. N. P., Panarello, H. O., & Goodall, R. N. P. (2017). Evaluating the isotopic niche of beaked whales from the southwestern South Atlantic and Southern Oceans. Marine Ecology Progress Series, 581, 183-198.",""
"283","Mollusca","Cephalopoda ","Oegopsida","Histioteuthidae ","Histioteuthis","Histioteuthis_macrohista","","","","Riccialdelli, L., Viola, M. N. P., Panarello, H. O., & Goodall, R. N. P. (2017). Evaluating the isotopic niche of beaked whales from the southwestern South Atlantic and Southern Oceans. Marine Ecology Progress Series, 581, 183-198.",""
"284","Mollusca","Cephalopoda ","Oegopsida","Gonatidae ","Gonatus","Gonatus_antarcticus","","","","Riccialdelli, L., Viola, M. N. P., Panarello, H. O., & Goodall, R. N. P. (2017). Evaluating the isotopic niche of beaked whales from the southwestern South Atlantic and Southern Oceans. Marine Ecology Progress Series, 581, 183-198.",""
"285","Mollusca","Cephalopoda ","Oegopsida","Onychoteuthidae","Kondakovia","Kondakovia_longimana","","","","Riccialdelli, L., Viola, M. N. P., Panarello, H. O., & Goodall, R. N. P. (2017). Evaluating the isotopic niche of beaked whales from the southwestern South Atlantic and Southern Oceans. Marine Ecology Progress Series, 581, 183-198.",""
"286","Mollusca","Cephalopoda ","Oegopsida","Batoteuthidae","Batoteuthis","Batoteuthis_skolops","","","","Riccialdelli, L., Viola, M. N. P., Panarello, H. O., & Goodall, R. N. P. (2017). Evaluating the isotopic niche of beaked whales from the southwestern South Atlantic and Southern Oceans. Marine Ecology Progress Series, 581, 183-198.",""
"287","Mollusca","Cephalopoda ","Oegopsida","Cranchiidae ","Galiteuthis","Galiteuthis_glacialis","","","","Riccialdelli, L., Viola, M. N. P., Panarello, H. O., & Goodall, R. N. P. (2017). Evaluating the isotopic niche of beaked whales from the southwestern South Atlantic and Southern Oceans. Marine Ecology Progress Series, 581, 183-198.",""
"288","Chordata","Actinopteri ","Perciformes ","Nototheniidae","Dissostichus","Dissostichus_eleginoides","Merluza negra","Demersal","","Riccialdelli, L., Viola, M. N. P., Panarello, H. O., & Goodall, R. N. P. (2017). Evaluating the isotopic niche of beaked whales from the southwestern South Atlantic and Southern Oceans. Marine Ecology Progress Series, 581, 183-198.",""
"289","Chordata","Actinopteri ","Gadiformes ","Gadidae","Micromesistius","Micromesistius_australis","Bacaladilla","Pelágico","","Riccialdelli, L., Viola, M. N. P., Panarello, H. O., & Goodall, R. N. P. (2017). Evaluating the isotopic niche of beaked whales from the southwestern South Atlantic and Southern Oceans. Marine Ecology Progress Series, 581, 183-198.",""
"290","Chordata","Actinopteri ","Gadiformes ","Merlucciidae ","Macruronus","Macruronus_magellanicus","Merluza de cola","Demersal","","Riccialdelli, L., Viola, M. N. P., Panarello, H. O., & Goodall, R. N. P. (2017). Evaluating the isotopic niche of beaked whales from the southwestern South Atlantic and Southern Oceans. Marine Ecology Progress Series, 581, 183-198.",""
"291","Chordata","Actinopteri ","Gadiformes ","Merlucciidae ","Merluccius","Merluccius_australis","Merluza austral","Demersal","","Riccialdelli, L., Viola, M. N. P., Panarello, H. O., & Goodall, R. N. P. (2017). Evaluating the isotopic niche of beaked whales from the southwestern South Atlantic and Southern Oceans. Marine Ecology Progress Series, 581, 183-198.",""
"292","Chordata","Actinopteri ","Perciformes ","Nototheniidae","Gobionotothen","Gobionotothen_gibberifrons","","","","Riccialdelli, L., Viola, M. N. P., Panarello, H. O., & Goodall, R. N. P. (2017). Evaluating the isotopic niche of beaked whales from the southwestern South Atlantic and Southern Oceans. Marine Ecology Progress Series, 581, 183-198.",""
"293","Chordata","Actinopteri ","Perciformes ","Channichthyidae","Chaenocephalus","Chaenocephalus_aceratus","","","","Riccialdelli, L., Viola, M. N. P., Panarello, H. O., & Goodall, R. N. P. (2017). Evaluating the isotopic niche of beaked whales from the southwestern South Atlantic and Southern Oceans. Marine Ecology Progress Series, 581, 183-198.",""
"294","Chordata","Actinopteri ","Perciformes ","Channichthyidae","Champsocephalus","Champsocephalus_gunnari","","","","Riccialdelli, L., Viola, M. N. P., Panarello, H. O., & Goodall, R. N. P. (2017). Evaluating the isotopic niche of beaked whales from the southwestern South Atlantic and Southern Oceans. Marine Ecology Progress Series, 581, 183-198.",""
"295","Chordata","Actinopteri ","Perciformes ","Channichthyidae","Chionodraco","Chionodraco_rastrospinosus","","","","Riccialdelli, L., Viola, M. N. P., Panarello, H. O., & Goodall, R. N. P. (2017). Evaluating the isotopic niche of beaked whales from the southwestern South Atlantic and Southern Oceans. Marine Ecology Progress Series, 581, 183-198.",""
"296","Chordata","Actinopteri ","Perciformes ","Nototheniidae","Lepidonotothen","Lepidonotothen_kempi","","","","Riccialdelli, L., Viola, M. N. P., Panarello, H. O., & Goodall, R. N. P. (2017). Evaluating the isotopic niche of beaked whales from the southwestern South Atlantic and Southern Oceans. Marine Ecology Progress Series, 581, 183-198.",""
"297","Chordata","Actinopteri ","Perciformes ","Nototheniidae","Nototheniops","Nototheniops_larseni","","","","Riccialdelli, L., Viola, M. N. P., Panarello, H. O., & Goodall, R. N. P. (2017). Evaluating the isotopic niche of beaked whales from the southwestern South Atlantic and Southern Oceans. Marine Ecology Progress Series, 581, 183-198.",""
"298","Chordata","Actinopteri ","Perciformes ","Channichthyidae","Pseudochaenichthys","Pseudochaenichthys_georgianus","","","","Riccialdelli, L., Viola, M. N. P., Panarello, H. O., & Goodall, R. N. P. (2017). Evaluating the isotopic niche of beaked whales from the southwestern South Atlantic and Southern Oceans. Marine Ecology Progress Series, 581, 183-198.",""
"299","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Lagenorhynchus","Lagenorhynchus_obscurus","","Pelágico","CCH, CB","Dellabianca, N. A., Torres, M. A., & Rey, A. R. (2018). Occurrence of dusky dolphin lagenorhynchus obscurus in Tierra Del Fuego archipelago over five decades. Polar Biology, 41(9), 1895-1900.","Delfín oscuro"
"300","Chordata","Mammalia","Cetartiodactyla","Delphinidae ","Lagenorhynchus","Lagenorhynchus_australis","Delfín Austral","Pelágico","CB","Dellabianca, N. A., Torres, M. A., & Rey, A. R. (2018). Occurrence of dusky dolphin lagenorhynchus obscurus in Tierra Del Fuego archipelago over five decades. Polar Biology, 41(9), 1895-1900.","Delfín de Peale"
"301","Chordata","Actinopteri ","Clupeiformes ","Clupeidae","Sprattus","Sprattus_fuegensis","Sardina fueguina, Fuegian sprat","Pelágico","CCH, CB","Diez, M. J., Cabreira, A. G., Madirolas, A., De Nascimento, J. M., Scioscia, G., Schiavini, A., & Lovrich, G. A. (2018). Winter is cool: spatio-temporal patterns of the squat lobster Munida gregaria and the Fuegian sprat Sprattus fuegensis in a sub-Antarctic estuarine environment. Polar Biology, 41(12), 2591-2605.",""
"302","Arthropoda","Malacostraca","Decapoda","Munididae","Munida","Munida_gregaria","Langosta en cuclillas","Bentopelágico","CB","Diez, M. J., Cabreira, A. G., Madirolas, A., De Nascimento, J. M., Scioscia, G., Schiavini, A., & Lovrich, G. A. (2018). Winter is cool: spatio-temporal patterns of the squat lobster Munida gregaria and the Fuegian sprat Sprattus fuegensis in a sub-Antarctic estuarine environment. Polar Biology, 41(12), 2591-2605.",""
"303","Arthropoda","Malacostraca","Decapoda","Lithodidae ","Lithodes","Lithodes_santolla","Centolla patagónica","Bentónico","CCH, CB","Diez, M. J., Cabreira, A. G., Madirolas, A., De Nascimento, J. M., Scioscia, G., Schiavini, A., & Lovrich, G. A. (2018). Winter is cool: spatio-temporal patterns of the squat lobster Munida gregaria and the Fuegian sprat Sprattus fuegensis in a sub-Antarctic estuarine environment. Polar Biology, 41(12), 2591-2605.",""
"304","Arthropoda","Malacostraca","Decapoda","Lithodidae ","Paralomis","Paralomis_granulosa","Centollón patagónico","Bentónico","CCH, CB","Diez, M. J., Cabreira, A. G., Madirolas, A., De Nascimento, J. M., Scioscia, G., Schiavini, A., & Lovrich, G. A. (2018). Winter is cool: spatio-temporal patterns of the squat lobster Munida gregaria and the Fuegian sprat Sprattus fuegensis in a sub-Antarctic estuarine environment. Polar Biology, 41(12), 2591-2605.",""
"305","Chordata","Aves","Sphenisciformes","Spheniscidae ","Spheniscus","Spheniscus_magellanicus","Pinguino Magallánico","Pelágico","CCH, CB","Rosciano, N. G., Pütz, K., Polito, M. J., & Raya Rey, A. (2018). Foraging behaviour of Magellanic Penguins during the early chick‐rearing period at Isla de los Estados, Argentina. Ibis, 160(2), 327-341.",""
"306","Chordata","Aves","Sphenisciformes","Spheniscidae ","Pygoscelis","Pygoscelis_adeliae","Pinguino Adelia","Pelágico","CCH, CB","Rosciano, N. G., Pütz, K., Polito, M. J., & Raya Rey, A. (2018). Foraging behaviour of Magellanic Penguins during the early chick‐rearing period at Isla de los Estados, Argentina. Ibis, 160(2), 327-341.",""
"307","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Macrocystis","Macrocystis_pyrifera","Alga parda","Bentónico","CB","Rosciano, N. G., Pütz, K., Polito, M. J., & Raya Rey, A. (2018). Foraging behaviour of Magellanic Penguins during the early chick‐rearing period at Isla de los Estados, Argentina. Ibis, 160(2), 327-341.",""
"308","Echinodermata ","Echinoidea","Camarodonta ","Parechinidae","Loxechinus","Loxechinus_albus","Erizo de mar chileno","Bentónico","CB","Rosciano, N. G., Pütz, K., Polito, M. J., & Raya Rey, A. (2018). Foraging behaviour of Magellanic Penguins during the early chick‐rearing period at Isla de los Estados, Argentina. Ibis, 160(2), 327-341.",""
"309","Ochrophyta","Phaeophyceae ","Laminariales ","Lessoniaceae","Lessonia","Lessonia_vadosa","Alga parda","Bentónico","CB","Rosciano, N. G., Pütz, K., Polito, M. J., & Raya Rey, A. (2018). Foraging behaviour of Magellanic Penguins during the early chick‐rearing period at Isla de los Estados, Argentina. Ibis, 160(2), 327-341.",""
"310","Ochrophyta","Phaeophyceae ","Laminariales ","Lessoniaceae","Lessonia","Lessonia_flavicans","Alga parda","Bentónico","CB","Rosciano, N. G., Pütz, K., Polito, M. J., & Raya Rey, A. (2018). Foraging behaviour of Magellanic Penguins during the early chick‐rearing period at Isla de los Estados, Argentina. Ibis, 160(2), 327-341.",""
"311","Echiodermata","Echinoidea","Temnopleuroida","Temnopleuridae","Pseudechinus ","Pseudechinus_magellanicus","Erizo de mar ","Bentónico","CB","Friedlander, A. M., Ballesteros, E., Bell, T. W., Caselle, J. E., Campagna, C., Goodell, W., ... & Dayton, P. K. (2020). Kelp forests at the end of the earth: 45 years later. Plos one, 15(3), e0229259.",""
"312","Echiodermata","Echinoidea","Cidaroida ","Cidaridae","Austrocidaris","Austrocidaris_canaliculatum","Erizo de mar ","Bentónico","CB","Friedlander, A. M., Ballesteros, E., Bell, T. W., Caselle, J. E., Campagna, C., Goodell, W., ... & Dayton, P. K. (2020). Kelp forests at the end of the earth: 45 years later. Plos one, 15(3), e0229259.",""
"313","Echiodermata","Echinoidea","Arbacioida ","Arbaciidae ","Arbacia","Arbacia_dufresnii","Erizo de mar ","Bentónico","CB","Friedlander, A. M., Ballesteros, E., Bell, T. W., Caselle, J. E., Campagna, C., Goodell, W., ... & Dayton, P. K. (2020). Kelp forests at the end of the earth: 45 years later. Plos one, 15(3), e0229259.",""
"314","Echiodermata","Echinoidea","Forcipulatida ","Asteriidae ","Anasterias","Anasterias_antarctica","Estrella de mar cenicienta","Bentónico","CB","Friedlander, A. M., Ballesteros, E., Bell, T. W., Caselle, J. E., Campagna, C., Goodell, W., ... & Dayton, P. K. (2020). Kelp forests at the end of the earth: 45 years later. Plos one, 15(3), e0229259.",""
"315","Echiodermata","Echinoidea","Forcipulatida ","Stichasteridae ","Cosmasterias","Cosmasterias_lurida","Estrella vioeta","Bentónico","CB","Friedlander, A. M., Ballesteros, E., Bell, T. W., Caselle, J. E., Campagna, C., Goodell, W., ... & Dayton, P. K. (2020). Kelp forests at the end of the earth: 45 years later. Plos one, 15(3), e0229259.",""
"316","Echiodermata","Echinoidea","Valvatida ","Asterinidae ","Asterina","Asterina_fimbriata","","Bentónico","CB","Friedlander, A. M., Ballesteros, E., Bell, T. W., Caselle, J. E., Campagna, C., Goodell, W., ... & Dayton, P. K. (2020). Kelp forests at the end of the earth: 45 years later. Plos one, 15(3), e0229259.",""
"317","Arthropoda","Thecostraca","Balanomorpha ","Balanidae ","Balanus","Balanus_laevis","Bellota de mar","Bentónico","CB","Friedlander, A. M., Ballesteros, E., Bell, T. W., Caselle, J. E., Campagna, C., Goodell, W., ... & Dayton, P. K. (2020). Kelp forests at the end of the earth: 45 years later. Plos one, 15(3), e0229259.",""
"318","Mollusca","Bivalvia","Imparidentia ","Gaimardiidae","Gaimardia","Gaimardia_trapesina","","Bentónico","CB","Friedlander, A. M., Ballesteros, E., Bell, T. W., Caselle, J. E., Campagna, C., Goodell, W., ... & Dayton, P. K. (2020). Kelp forests at the end of the earth: 45 years later. Plos one, 15(3), e0229259.",""
"319","Bryozoa","Gymnolaemata ","Cheilostomatida ","N/A","N/A","Lepraliomorpha ","","Bentónico","CB","Friedlander, A. M., Ballesteros, E., Bell, T. W., Caselle, J. E., Campagna, C., Goodell, W., ... & Dayton, P. K. (2020). Kelp forests at the end of the earth: 45 years later. Plos one, 15(3), e0229259.",""
"320","Mollusca","Gastropoda","Trochida ","Calliostomatidae","Margarella","Margarella_violacea ","","Bentónico","CB","Friedlander, A. M., Ballesteros, E., Bell, T. W., Caselle, J. E., Campagna, C., Goodell, W., ... & Dayton, P. K. (2020). Kelp forests at the end of the earth: 45 years later. Plos one, 15(3), e0229259.",""
"321","Haptophyta ","Prymnesiophyceae ","Isochrysidales ","Noelaerhabdaceae","Emiliania","Emiliania_huxleyi","Cocolitofóridos","Pelágico","CB y CCH","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"322","Myzozoa ","Dinophyceae","Dinophysiales ","Dinophysaceae ","Dinophysis","Dinophysis_acuminata","Mixozoos","Pelágico","CB y CCH","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"323","Cyanobacteria ","Cyanophyceae ","Synechococcales ","Synechococcaceae","Synechococcus","Synechococcus","Picofitoplancton","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"324","Arthropoda","Malacostraca","Decapoda","Lithodidae ","Lithodes","Lithodes_santolla","Centolla patagónica","Bentónico","CCH, CB","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"325","Arthropoda","Malacostraca","Decapoda","Lithodidae ","Paralomis","Paralomis_granulosa","Centollón patagónico","Bentónico","CCH, CB","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"326","Chordata","Actinopteri ","Clupeiformes ","Clupeidae","Sprattus","Sprattus_fuegensis","Sardina fueguina, Fuegian sprat","Pelágico","CCH, CB","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"327","Chordata","Actinopteri","Perciformes","Nototheniidae ","Dissostichus","Dissostichus_eleginoides","Merluza negra","Demersal","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"328","Ochrophyta ","Bacillariophyceae","N/A","N/A","N/A","Bacillariophyceae*","Diatomeas","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"329","Haptophyta ","Prymnesiophyceae ","N/A","N/A","N/A","Coccolithophorales* ","Cocolitofóridos","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"330","Bryozoa","Gymnolaemata","Cheilostomatida ","Escharinidae ","Mastigophora","Mastigophora","Flagelados","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"331","Dinophyta","N/A","N/A","N/A","N/A","Dinophyta*","Dinoflagelados","","CB","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"332","Myzozoa","Dinophyceae","Dinophyceae","Amphidomataceae","Azadinium","Azadinium","Dinoflagelados","","CB","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"333","Myzozoa","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","Prorocentrum","Dinoflagelados","","CB","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"334","Myzozoa","Dinophyceae","Gonyaulacales","Ostreopsidaceae","Alexandrium","Alexandrium","Dinoflagelados","","CB","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"335","Myzozoa","Dinophyceae","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium","Dinoflagelados","","CB","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"336","Myzozoa","Dinophyceae","Peridiniales","Oxytoxaceae ","Oxytoxum","Oxytoxum","Dinoflagelados","","CB","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"337","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gymnodinium","Gymnodinium","Dinoflagelados heterótrofos","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"338","Myzozoa","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","Protoperidinium","","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"339","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium","","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"340","Myzozoa","Dinophyceae","Amphidiniales","Amphidiniaceae","Amphidinium","Amphidinium","","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"341","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Torodinium","Torodinium_robustum","","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"342","Ciliophora","Litostomatea","Cyclotrichiida","Mesodiniidae","Mesodinium","Mesodinium_rubrum","Ciliados","","CB","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"343","Myzozoa ","Dinophyceae","Dinophysiales ","Dinophysaceae ","Dinophysis","Dinophysis","","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"344","Ciliophora","Oligotrichea","Oligotrichida","Strombidiidae","Strombidium","Strombidium","","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"345","Ciliophora","Oligotrichea","Choreotrichida","Strobilidiidae","Strobilidium","Strobilidium","","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"346","Ciliophora","Oligotrichea","Choreotrichida","Strombidinopsidae","Strombidinopsis","Strombidinopsis","","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"347","Ciliophora","Oligotrichea","Choreotrichida","Codonellidae","Tintinnopsis","Tintinnopsis","","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"348","Ochrophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Shionodiscus","Shionodiscus_gaarderae","Diatomeas","","CCH","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"349","Ciliophora","Oligotrichea","Oligotrichida","Cyrtostrombidiidae","Cyrtostrombidium","Cyrtostrombidium","","","CB, CCH","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"350","Ciliophora","Oligotrichea","Oligotrichida","Tontoniidae","Laboea","Laboea_strobila","","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"351","Ciliophora","Oligotrichea","Oligotrichida","Strombidiidae","Strombidium","Strombidium_conicum","","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"352","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia","","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"353","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia","","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"354","Myzozoa ","Dinophyceae","Dinophysiales ","Dinophysaceae ","Dinophysis","Dinophysis_acuminata","","","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"355","Ochrophyta","Bacillariophyceae","Chaetocerotanae","Chaetocerotaceae","Chaetoceros","Chaetoceros","Diatomeas","CB, CCH","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
"356","Ochrophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira ","Thalassiosira ","Diatomeas","CB, CCH","","Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",""
