ID,Prey,Prey funtional group,Prey expertise,Predator,Predator funtional group,Predator expertise,Strategy,Source,Reference,Link,Observations
481,Pelagobia_longicirrata,Polychaeta,Zooplankton,RhinCalanoida_gigas,Copepoda,Zooplankton,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
482,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,CtenoCalanoida_vanus,Copepoda,Zooplankton,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
483,Phytoplankton,Phytoplankton,Phytoplankton,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,Hunter,Primary_producer,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
484,Pelagobia_longicirrata,Polychaeta,Zooplankton,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
485,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
486,Doryteuthis_gahi,Cephalopoda,Cephalopods,Salilota_australis,Gadiformes,Fish,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
487,Doryteuthis_gahi,Cephalopoda,Cephalopods,Spheniscus_magellanicus,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
488,Pagurus_comptus,Decapoda,Crustaceans,Thalassarche_chrysostoma,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
489,Patagonotothen_guntheri,Perciformes,Fish,Thalassarche_chrysostoma,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
490,Macrourus_holotrachys,Gadiformes,Fish,Thalassarche_melanophris,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
491,Enteroctopus_megalocyathus,Cephalopoda,Cephalopods,Ophidiidae,Ophidiiformes,Fish,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
492,Enteroctopus_megalocyathus,Cephalopoda,Cephalopods,Squalus_acanthias,Squaliformes, Chondrichthyans,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
493,Eukrohnia_hamata,Chaetognatha,Zooplankton,Sprattus_fuegensis,Clupeiformes,Sardinas,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
494,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,Sprattus_fuegensis,Clupeiformes,Sardinas,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
495,Pseudechinus_magellanicus,Echinoidea,Erizos,Cosmasterias_lurida,Asteroidea,Asteroideos,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
496,CtenoCalanoida_vanus,Copepoda,Zooplankton,Sprattus_fuegensis,Clupeiformes,Sardinas,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
497,Drepanopus_forcipatus,Copepoda,Zooplankton,Sprattus_fuegensis,Clupeiformes,Sardinas,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
498,Neocalanoida_tonsus,Copepoda,Zooplankton,Sprattus_fuegensis,Clupeiformes,Sardinas,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
499,Sprattus_fuegensis,Clupeiformes,Sardinas,Ardenna_gravis,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
500,Sprattus_fuegensis,Clupeiformes,Sardinas,Puffinus_griseus,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
501,Sprattus_fuegensis,Clupeiformes,Sardinas,Daption_capense,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
502,Enteroctopus_megalocyathus,Cephalopoda,Cephalopods,Eudyptes_chrysocome,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
503,Themisto_gaudichaudii,Malacostraca,Crustaceans,Fulmarus_glacialoides,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
504,Sprattus_fuegensis,Clupeiformes,Sardinas,Fulmarus_glacialoides,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
505,Doryteuthis_gahi,Cephalopoda,Cephalopods,Macronectes_halli,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
506,Enteroctopus_megalocyathus,Cephalopoda,Cephalopods,Spheniscus_magellanicus,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
507,Grimothea_gregaria,Malacostraca,Crustaceans,Spheniscus_magellanicus,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
508,Doryteuthis_gahi,Cephalopoda,Cephalopods,Thalassarche_melanophris,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_inrev.,NA,Inferred from Burdwood Bank ecosystem
