ID,Prey,Prey funtional group,Prey expertise,Predator,Predator funtional group,Predator expertise,Strategy,Source,Reference,Link,Observations
440,Pagurus_comptus,Decapoda,Crustaceans,Coelorinchus_fasciatus,Gadiformes,Fish,Hunter,Heterotroph,Marina_etal_enprep.,NA,
441,Themisto_gaudichaudii,Malacostraca,Crustaceans,Coelorinchus_fasciatus,Gadiformes,Fish,Hunter,Heterotroph,Marina_etal_enprep.,NA,
442,Grimothea_gregaria,Malacostraca,Crustaceans,Coelorinchus_fasciatus,Gadiformes,Fish,Hunter,Heterotroph,Marina_etal_enprep.,NA,
443,Pagurus_comptus,Decapoda,Crustaceans,Macrourus_carinatus,Gadiformes,Fish,Hunter,Heterotroph,Marina_etal_enprep.,NA,
444,Phytoplankton,Phytoplankton,Phytoplankton,Paralomis_granulosa,Decapoda,Crustaceans,Hunter,Primary_producer,Marina_etal_enprep.,NA,Infered from Emiliania_huxleyi
445,Themisto_gaudichaudii,Malacostraca,Crustaceans,Ardenna_gravis,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
446,Doryteuthis_gahi,Cephalopoda,Cephalopods,Ardenna_gravis,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
447,Themisto_gaudichaudii,Malacostraca,Crustaceans,Puffinus_griseus,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
448,Doryteuthis_gahi,Cephalopoda,Cephalopods,Puffinus_griseus,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
449,Themisto_gaudichaudii,Malacostraca,Crustaceans,Balaenoptera_acutorostrata,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
450,Themisto_gaudichaudii,Malacostraca,Crustaceans,Balaenoptera_acutorostrata,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
451,Grimothea_gregaria,Malacostraca,Crustaceans,Balaenoptera_acutorostrata,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
452,Micromesistius_australis,Gadiformes,Fish,Balaenoptera_acutorostrata,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
453,Themisto_gaudichaudii,Malacostraca,Crustaceans,Balaenoptera_bonaerensis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
454,Themisto_gaudichaudii,Malacostraca,Crustaceans,Balaenoptera_bonaerensis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
455,Themisto_gaudichaudii,Malacostraca,Crustaceans,Balaenoptera_borealis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
456,Themisto_gaudichaudii,Malacostraca,Crustaceans,Balaenoptera_borealis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
457,Grimothea_gregaria,Malacostraca,Crustaceans,Balaenoptera_borealis,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
458,Themisto_gaudichaudii,Malacostraca,Crustaceans,Balaenoptera_physalus,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
459,Themisto_gaudichaudii,Malacostraca,Crustaceans,Balaenoptera_physalus,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
460,Coelorinchus_fasciatus,Gadiformes,Fish,Ophidiidae,Ophidiiformes,Fish,Hunter,Heterotroph,Marina_etal_enprep.,NA,
461,Polychaeta,Polychaeta,Zooplankton,Daption_capense,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,Infered from Pelagobia_longicirrata
462,Doryteuthis_gahi,Cephalopoda,Cephalopods,Daption_capense,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
463,Doryteuthis_gahi,Cephalopoda,Cephalopods,Daption_capense,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
464,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,Daption_capense,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
465,RhinCalanoida_gigas,Copepoda,Zooplankton,Daption_capense,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
466,Doryteuthis_gahi,Cephalopoda,Cephalopods,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Hunter,Heterotroph,Marina_etal_enprep.,NA,
467,Doryteuthis_gahi,Cephalopoda,Cephalopods,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Hunter,Heterotroph,Marina_etal_enprep.,NA,
468,Enteroctopus_megalocyathus,Cephalopoda,Cephalopods,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Hunter,Heterotroph,Marina_etal_enprep.,NA,
469,Grimothea_gregaria,Malacostraca,Crustaceans,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Hunter,Heterotroph,Marina_etal_enprep.,NA,
470,Pagurus_comptus,Decapoda,Crustaceans,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Hunter,Heterotroph,Marina_etal_enprep.,NA,
471,Dissostichus_eleginoides,Perciformes,Fish_Demersal,Thalassarche_chrysostoma,Birds,Sea birds,Hunter,Heterotroph,Marina_etal_enprep.,NA,
472,Sprattus_fuegensis,Clupeiformes,Sardinas,Lagenorhynchus_cruciger,Delphinidae,Sea mammals,Hunter,Heterotroph,Marina_etal_enprep.,NA,
473,Pseudosagitta_gazellae,Chaetognatha,Zooplankton,Micromesistius_australis,Gadiformes,Fish,Hunter,Heterotroph,Marina_etal_enprep.,NA,
474,Neocalanoida_tonsus,Copepoda,Zooplankton,Balaenoptera_physalus,Cetacea,Sea mammals,Filter,Heterotroph,Marina_etal_enprep.,NA,
