"resource","consumer"
"Appendicularia","Lanceola"
"Appendicularia","Microsetella norvegica"
"Appendicularia","Pleurobrachia"
"Appendicularia","Sagitta gazellae"
"Appendicularia","Vanadis"
"Arctozenus risso","Alluroteuthis antarcticus"
"Arctozenus risso","Arctozenus risso"
"Arctozenus risso","Bathyteuthis abyssicola"
"Arctozenus risso","Batoteuthis skolops"
"Arctozenus risso","Benthalbella elongata"
"Arctozenus risso","Benthalbella macropinna"
"Arctozenus risso","Borostomias antarcticus"
"Arctozenus risso","Calycopsis borchgrevinki"
"Arctozenus risso","Cyclothone"
"Arctozenus risso","Desmonema glaciale"
"Arctozenus risso","Dimophyes arctica"
"Arctozenus risso","Diphyes antarctica"
"Arctozenus risso","Electrona antarctica"
"Arctozenus risso","Eudoxoides spiralis"
"Arctozenus risso","Filippovia knipovitchi"
"Arctozenus risso","Galiteuthis glacialis"
"Arctozenus risso","Gennadas kempi"
"Arctozenus risso","Gigantocypris muelleri"
"Arctozenus risso","Gilia reticulata"
"Arctozenus risso","Gonatus antarcticus"
"Arctozenus risso","Gymnoscopelus bolini"
"Arctozenus risso","Gymnoscopelus braueri"
"Arctozenus risso","Kondakovia longimana"
"Arctozenus risso","Krefftichthys anderssoni"
"Arctozenus risso","Marrus antarcticus"
"Arctozenus risso","Mastigoteuthis"
"Arctozenus risso","Megalocranchia"
"Arctozenus risso","Muggiaea bargmannae"
"Arctozenus risso","Neognathophausia gigas"
"Arctozenus risso","Pandea rubra"
"Arctozenus risso","Parandania boecki"
"Arctozenus risso","Petalidium foliaceum"
"Arctozenus risso","Pleuragramma antarcticum"
"Arctozenus risso","Pleurobrachia"
"Arctozenus risso","Psychroteuthis glacialis"
"Arctozenus risso","Sergestes"
"Arctozenus risso","Slosarczykovia circumantarctica"
"Arctozenus risso","Stomias gracilis"
"Arctozenus risso","Zanclonia weldoni"
"Atolla wyvillei","Atolla wyvillei"
"Atolla wyvillei","Borostomias antarcticus"
"Atolla wyvillei","Cyclothone"
"Atolla wyvillei","Cyphocaris faurei"
"Atolla wyvillei","Cyphocaris richardi"
"Atolla wyvillei","Eurythenes obesus"
"Atolla wyvillei","Gigantocypris muelleri"
"Atolla wyvillei","Hyperia macrocephala"
"Atolla wyvillei","Lucicutia"
"Atolla wyvillei","Parandania boecki"
"Atolla wyvillei","Paraphyllina ransoni"
"Atolla wyvillei","Periphylla periphylla"
"Atolla wyvillei","Stygiomedusa gigantea"
"Austrinoecia isocheira","Calycopsis borchgrevinki"
"Austrinoecia isocheira","Candacia"
"Austrinoecia isocheira","Corycaeus"
"Austrinoecia isocheira","Dimophyes arctica"
"Austrinoecia isocheira","Diphyes antarctica"
"Austrinoecia isocheira","Electrona antarctica"
"Austrinoecia isocheira","Eudoxoides spiralis"
"Austrinoecia isocheira","Eukrohnia hamata"
"Austrinoecia isocheira","Euphausia frigida"
"Austrinoecia isocheira","Euphausia triacantha"
"Austrinoecia isocheira","Gigantocypris muelleri"
"Austrinoecia isocheira","Gilia reticulata"
"Austrinoecia isocheira","Gymnoscopelus bolini"
"Austrinoecia isocheira","Gymnoscopelus braueri"
"Austrinoecia isocheira","Gymnoscopelus nicholsi"
"Austrinoecia isocheira","Hippopodiidae"
"Austrinoecia isocheira","Krefftichthys anderssoni"
"Austrinoecia isocheira","Melanostigma gelatinosum"
"Austrinoecia isocheira","Muggiaea bargmannae"
"Austrinoecia isocheira","Nannobrachium achirus"
"Austrinoecia isocheira","Neognathophausia gigas"
"Austrinoecia isocheira","Notolepis coatsi"
"Austrinoecia isocheira","Pandea rubra"
"Austrinoecia isocheira","Pelagobia longicirrata"
"Austrinoecia isocheira","Protomyctophum bolini"
"Austrinoecia isocheira","Protomyctophum choriodon"
"Austrinoecia isocheira","Pyrostephos vanhoeffeni"
"Austrinoecia isocheira","Sagitta gazellae"
"Austrinoecia isocheira","Stygiomedusa gigantea"
"Austrinoecia isocheira","Vanadis"
"Bacteria","Acantharea"
"Bacteria","Aloricate ciliates"
"Bacteria","Codonellopsis"
"Bacteria","Cymatocylis"
"Bacteria","Foraminifera"
"Bacteria","Laackmanniella"
"Bacteria","Microsetella norvegica"
"Bathyteuthis abyssicola","Alluroteuthis antarcticus"
"Bathyteuthis abyssicola","Bathyteuthis abyssicola"
"Bathyteuthis abyssicola","Batoteuthis skolops"
"Bathyteuthis abyssicola","Brachioteuthis picta"
"Bathyteuthis abyssicola","Filippovia knipovitchi"
"Bathyteuthis abyssicola","Galiteuthis glacialis"
"Bathyteuthis abyssicola","Gigantocypris muelleri"
"Bathyteuthis abyssicola","Gonatus antarcticus"
"Bathyteuthis abyssicola","Gymnoscopelus bolini"
"Bathyteuthis abyssicola","Histioteuthis eltaninae"
"Bathyteuthis abyssicola","Kondakovia longimana"
"Bathyteuthis abyssicola","Mastigoteuthis"
"Bathyteuthis abyssicola","Megalocranchia"
"Bathyteuthis abyssicola","Mesonychoteuthis hamiltoni"
"Bathyteuthis abyssicola","Psychroteuthis glacialis"
"Bathyteuthis abyssicola","Slosarczykovia circumantarctica"
"Batoteuthis skolops","Alluroteuthis antarcticus"
"Batoteuthis skolops","Bathyteuthis abyssicola"
"Batoteuthis skolops","Batoteuthis skolops"
"Batoteuthis skolops","Brachioteuthis picta"
"Batoteuthis skolops","Dissostichus eleginoides"
"Batoteuthis skolops","Filippovia knipovitchi"
"Batoteuthis skolops","Galiteuthis glacialis"
"Batoteuthis skolops","Gigantocypris muelleri"
"Batoteuthis skolops","Gonatus antarcticus"
"Batoteuthis skolops","Gymnoscopelus bolini"
"Batoteuthis skolops","Histioteuthis eltaninae"
"Batoteuthis skolops","Kondakovia longimana"
"Batoteuthis skolops","Mastigoteuthis"
"Batoteuthis skolops","Megalocranchia"
"Batoteuthis skolops","Psychroteuthis glacialis"
"Batoteuthis skolops","Slosarczykovia circumantarctica"
"Benthalbella elongata","Alluroteuthis antarcticus"
"Benthalbella elongata","Arctozenus risso"
"Benthalbella elongata","Bathyteuthis abyssicola"
"Benthalbella elongata","Batoteuthis skolops"
"Benthalbella elongata","Benthalbella elongata"
"Benthalbella elongata","Benthalbella macropinna"
"Benthalbella elongata","Borostomias antarcticus"
"Benthalbella elongata","Calycopsis borchgrevinki"
"Benthalbella elongata","Cyclothone"
"Benthalbella elongata","Desmonema glaciale"
"Benthalbella elongata","Dimophyes arctica"
"Benthalbella elongata","Diphyes antarctica"
"Benthalbella elongata","Electrona antarctica"
"Benthalbella elongata","Filippovia knipovitchi"
"Benthalbella elongata","Galiteuthis glacialis"
"Benthalbella elongata","Gigantocypris muelleri"
"Benthalbella elongata","Gonatus antarcticus"
"Benthalbella elongata","Gymnoscopelus bolini"
"Benthalbella elongata","Gymnoscopelus braueri"
"Benthalbella elongata","Kondakovia longimana"
"Benthalbella elongata","Krefftichthys anderssoni"
"Benthalbella elongata","Mastigoteuthis"
"Benthalbella elongata","Megalocranchia"
"Benthalbella elongata","Muggiaea bargmannae"
"Benthalbella elongata","Pandea rubra"
"Benthalbella elongata","Parandania boecki"
"Benthalbella elongata","Pleuragramma antarcticum"
"Benthalbella elongata","Pleurobrachia"
"Benthalbella elongata","Psychroteuthis glacialis"
"Benthalbella elongata","Slosarczykovia circumantarctica"
"Benthalbella elongata","Stomias gracilis"
"Benthalbella macropinna","Alluroteuthis antarcticus"
"Benthalbella macropinna","Arctozenus risso"
"Benthalbella macropinna","Bathyteuthis abyssicola"
"Benthalbella macropinna","Batoteuthis skolops"
"Benthalbella macropinna","Benthalbella elongata"
"Benthalbella macropinna","Benthalbella macropinna"
"Benthalbella macropinna","Borostomias antarcticus"
"Benthalbella macropinna","Calycopsis borchgrevinki"
"Benthalbella macropinna","Cyclothone"
"Benthalbella macropinna","Desmonema glaciale"
