ID,Presa,Grupo funcional presa,Expertise presa,Depredador,Grupo funcional depredador,Expertise depredador,Estrategia,Fuente,Referencia,Enlace,Observaciones
60,Ancistrocheirus,Cephalopoda,Cefalopodos,Thalassarche_chrysostoma,Procellariiformes,Aves marinas,,Heterótrofo,"Van Waerebeek, K. et al_2010",https://doi.org/10.47536/jcrm.v11i3.611,
61,Mirounga_leonina,Phocidae,Mamiferos marinos,Orcinus_orca,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Van Waerebeek, K. et al_2010",https://doi.org/10.47536/jcrm.v11i3.611,
62,Myctophidae_spp,Myctophiformes,Peces,Lagenorhynchus_cruciger,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Van Waerebeek, K. et al_2010",https://doi.org/10.47536/jcrm.v11i3.611,
63,Onychoteuthidae,Cephalopoda,Cefalopodos,Lagenorhynchus_cruciger,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Van Waerebeek, K. et al_2010",https://doi.org/10.47536/jcrm.v11i3.611,
64,Enoloteuthidae,Cephalopoda,Cefalopodos,Lagenorhynchus_cruciger,Delphinidae,Mamiferos marinos,Cazador,Heterótrofo,"Van Waerebeek, K. et al_2010",https://doi.org/10.47536/jcrm.v11i3.611,
65,Amphipoda_spp,Amphipoda,Crustaceos,Eudyptes_chrysocome_chrysocome,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
66,Larva_peces,Zooplancton,Ictioplancton,Eudyptes_chrysocome_chrysocome,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
67,Euphausiidae,Malacostraca,Crustaceos peracaridos,Eudyptes_chrysocome_chrysocome,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
68,Ancistrocheirus,Cephalopoda,Cefalopodos,Thalassarche_melanophris,Procellariiformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
69,Zooplancton,Zooplancton,Zooplancton,Spheniscus_magellanicus,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
70,Cephalopoda_otros,Cephalopoda,Cefalopodos,Spheniscus_magellanicus,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
71,Amphipoda_spp,Amphipoda,Crustaceos,Spheniscus_magellanicus,Sphenisciformes,Aves marinas,Cazador,Heterótrofo,"Rosciano, N. G. et al_2016",https://doi.org/10.3354/meps11689,
