"resource","consumer"
"Benthalbella macropinna","Kondakovia longimana"
"Benthalbella macropinna","Krefftichthys anderssoni"
"Benthalbella macropinna","Martialia hyadesi"
"Benthalbella macropinna","Mastigoteuthis"
"Benthalbella macropinna","Megalocranchia"
"Benthalbella macropinna","Muggiaea bargmannae"
"Benthalbella macropinna","Onykia ingens"
"Benthalbella macropinna","Pandea rubra"
"Benthalbella macropinna","Parandania boecki"
"Benthalbella macropinna","Pleuragramma antarcticum"
"Benthalbella macropinna","Pleurobrachia"
"Benthalbella macropinna","Protomyctophum tenisoni"
"Benthalbella macropinna","Psychroteuthis glacialis"
"Benthalbella macropinna","Slosarczykovia circumantarctica"
"Benthalbella macropinna","Stomias gracilis"
"Boroecia antipoda","Calycopsis borchgrevinki"
"Boroecia antipoda","Candacia"
"Boroecia antipoda","Corycaeus"
"Boroecia antipoda","Dimophyes arctica"
"Boroecia antipoda","Diphyes antarctica"
"Boroecia antipoda","Electrona antarctica"
"Boroecia antipoda","Electrona carlsbergi"
"Boroecia antipoda","Eudoxoides spiralis"
"Boroecia antipoda","Eukrohnia hamata"
"Boroecia antipoda","Euphausia frigida"
"Boroecia antipoda","Euphausia triacantha"
"Boroecia antipoda","Gigantocypris muelleri"
"Boroecia antipoda","Gilia reticulata"
"Boroecia antipoda","Gymnoscopelus bolini"
"Boroecia antipoda","Gymnoscopelus braueri"
"Boroecia antipoda","Gymnoscopelus fraseri"
"Boroecia antipoda","Gymnoscopelus hintonoides"
"Boroecia antipoda","Gymnoscopelus nicholsi"
"Boroecia antipoda","Gymnoscopelus piabilis"
"Boroecia antipoda","Hippopodiidae"
"Boroecia antipoda","Krefftichthys anderssoni"
"Boroecia antipoda","Lampanyctus"
"Boroecia antipoda","Melanostigma gelatinosum"
"Boroecia antipoda","Muggiaea bargmannae"
"Boroecia antipoda","Nannobrachium achirus"
"Boroecia antipoda","Nansenia antarctica"
"Boroecia antipoda","Neognathophausia gigas"
"Boroecia antipoda","Notolepis coatsi"
"Boroecia antipoda","Pandea rubra"
"Boroecia antipoda","Pelagobia longicirrata"
"Boroecia antipoda","Poromitra crassiceps"
"Boroecia antipoda","Protomyctophum andriashevi"
"Boroecia antipoda","Protomyctophum bolini"
"Boroecia antipoda","Protomyctophum choriodon"
"Boroecia antipoda","Protomyctophum luciferum"
"Boroecia antipoda","Protomyctophum tenisoni"
"Boroecia antipoda","Pyrostephos vanhoeffeni"
"Boroecia antipoda","Sagitta gazellae"
"Boroecia antipoda","Stygiomedusa gigantea"
"Boroecia antipoda","Symbolophorus boops"
"Boroecia antipoda","Vanadis"
"Borostomias antarcticus","Alluroteuthis antarcticus"
"Borostomias antarcticus","Bathyteuthis abyssicola"
"Borostomias antarcticus","Batoteuthis skolops"
"Borostomias antarcticus","Benthalbella elongata"
"Borostomias antarcticus","Benthalbella macropinna"
"Borostomias antarcticus","Borostomias antarcticus"
"Borostomias antarcticus","Calycopsis borchgrevinki"
"Borostomias antarcticus","Chiroteuthis veranyi"
"Borostomias antarcticus","Cyclothone"
"Borostomias antarcticus","Desmonema glaciale"
"Borostomias antarcticus","Dimophyes arctica"
"Borostomias antarcticus","Diphyes antarctica"
"Borostomias antarcticus","Electrona antarctica"
"Borostomias antarcticus","Electrona carlsbergi"
