ID,Filum,Clase,Orden,Familia,Género,Especie trófica,Nombre común,Hábitat,Dominio,Expertise,Referencia,Enlace
70,Porifera,Demospongiae,Haplosclerida,NA,NA,Haplosclerida*,NA,NA,,Porifera,1,https://doi.org/10.3989/scimar.1999.63s1155
71,Echinodermata,Asteroidea,Valvatida,Solasteridae,Lophaster,Lophaster*,NA,NA,,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
72,Mollusca,Gastropoda,Neogastropoda,Volutidae,Odontocymbiola,Odontocymbiola*,NA,NA,,Gasteropodos,1,https://doi.org/10.3989/scimar.1999.63s1155
73,Bryozoa,Gymnolaemata ,Cheilostomatida ,Flustridae,NA,Flustridae*,NA,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
74,Arthropoda,Malacostraca,Isopoda,Serolidae,NA,Serolidae*,NA,NA,,Crustaceos isopodos,1,https://doi.org/10.3989/scimar.1999.63s1155
75,Rhodophyta ,Florideophyceae,Gelidiales ,Gelidiaceae,Gellidus,Gellidus_rudis,NA,Bentónico,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
76,Echinodermata,Asteroidea,Forcipulatida ,Heliasteridae,Labidiaster,Labidiaster_radiosus,Estrella de rayos pegajosos,NA,,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
77,Echinodermata,Asteroidea,Valvatida ,Poraniidae,Porania,Porania_antartica,NA,Bentónico,,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
78,Cnidaria,Anthozoa,Malacalcyonacea ,Alcyoniidae,Alcyonidium,Alcyonidium_australe,NA,Bentónico,,Cnidarios,1,https://doi.org/10.3989/scimar.1999.63s1155
79,Echinodermata,Asteroidea,Valvatida,Asterinidae ,Ganeria,Ganeria*,NA,NA,,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
80,Echinodermata,Asteroidea,Valvatida,Odontasteridae,Asterodon,Asterodon*,NA,NA,,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
81,Arthropoda,Malacostraca ,Decapoda,Campylonotidae,Campylonotus,Campylonotus_vagans,Camarón pintado,Bentónico,,Crustaceos peracaridos,1,https://doi.org/10.3989/scimar.1999.63s1155
82,Echinodermata,Asteroidea,Paxillosida ,Astropectinidae,Bathybiaster,Bathybiaster_loripes,NA,Bentónico,,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
83,Mollusca,Gastropoda,Neogastropoda ,Fasciolariidae,Trophon,Trophon_geversianus,NA,Bentónico,,Gasteropodos,1,https://doi.org/10.3989/scimar.1999.63s1155
84,Mollusca,Gastropoda,Neogastropoda ,Conidae,Ximeniconus,Ximeniconus_muriciformis,NA,Bentónico,,Gasteropodos,1,https://doi.org/10.3989/scimar.1999.63s1155
85,Bryozoa,Gymnolaemata ,Cheilostomatida,Flustridae ,Carbasea,Carbasea_darwini,NA,Bentónico,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
86,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae ,Errinopora,Errinopora*,NA,NA,,Cnidarios,1,https://doi.org/10.3989/scimar.1999.63s1155
87,Porifera,Demospongiae ,Axinellida,Axinellidae,NA,Axinellidae*,NA,Bentónico,,Porifera,1,https://doi.org/10.3989/scimar.1999.63s1155
88,Porifera,Demospongiae ,Tetractinellida,Tetillidae ,Cinachyra,Cinachyra*,NA,Bentónico,,Porifera,1,https://doi.org/10.3989/scimar.1999.63s1155
89,Porifera,Demospongiae ,Poecilosclerida,Mycalidae ,Mycale,Mycale_magellonica,NA,Bentónico,,Porifera,1,https://doi.org/10.3989/scimar.1999.63s1155
90,Bryozoa,Gymnolaemata ,Cheilostomatida,Smittinidae ,Parasmittina,Parasmittina*,NA,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
91,Bryozoa,Gymnolaemata ,Cheilostomatida,Smittinidae,NA,Smittinidae*,NA,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
92,Bryozoa,Gymnolaemata ,Cheilostomatida,Cellariidae,Cellaria,Cellaria*,NA,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
93,Bryozoa,Gymnolaemata ,Cheilostomatida,Adeonidae ,Adeonella,Adeonella*,NA,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
94,Cnidaria,Hydrozoa,Anthoathecata ,Stylasteridae,NA,Stylasteridae*,NA,NA,,Cnidarios,1,https://doi.org/10.3989/scimar.1999.63s1155
95,Cnidaria,Anthozoa,Scleractinaria,NA,NA,Scleractinaria*,NA,NA,,Cnidarios,1,https://doi.org/10.3989/scimar.1999.63s1155
96,Cnidaria,Anthozoa,Pennatularia,NA,NA,Pennatularia*,NA,NA,,Cnidarios,1,https://doi.org/10.3989/scimar.1999.63s1155
97,Mollusca,Bivalvia,Mytilida,Mytilidae ,Aulacomya,Aulacomya_ater,NA,Bentónico,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
98,Mollusca,Cephalopoda,Octopoda,NA,NA,Octopoda*,NA,NA,,Cefalopodos,1,https://doi.org/10.3989/scimar.1999.63s1155
99,Annelida,Polychaeta,Echiuroidea,NA,NA,Echiuroidea*,NA,NA,,Poliquetos,1,https://doi.org/10.3989/scimar.1999.63s1155
100,Annelida,Polychaeta ,NA,Maldanidae,Praxilla,Praxilla*,NA,NA,,Poliquetos,1,https://doi.org/10.3989/scimar.1999.63s1155
101,Arthropoda,Malacostraca,Decapoda ,Lithodidae,Paralomis,Paralomis_granulosa,Centollón patagónico,Bentónico,,Crustaceos peracaridos,1,https://doi.org/10.3989/scimar.1999.63s1155
102,Echinodermata,Asteroidea,Valvatida,Asterinidae ,Cycethra,Cycethra_verrucosa,NA,NA,,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
103,Echinodermata,Asteroidea,Valvatida,Asterinidae ,Ganeria,Ganeria_falklandica,NA,Bentónico,,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
104,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Ceramaster,Ceramaster*,NA,NA,,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
105,Echinodermata,Asteroidea,Valvatida,Odontasteridae,Odontaster,Odontaster*,NA,NA,,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
106,Echinodermata,Ophiuroidea,Ophioscolecida ,Ophioscolecidae ,Ophioscolex,Ophioscolex_nutrix,NA,,,Ofiuroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
107,Echinodermata,Ophiuroidea,Euryalida ,Gorgonocephalidae ,Gorgonocephalus,Gorgonocephalus_chilensis,NA,,,Ofiuroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
108,Chordata,Actinopteri,Perciformes ,Congiopodidae ,Congiopodus,Congiopodus_peruvianus,NA,,,Peces,1,https://doi.org/10.3989/scimar.1999.63s1155
109,Chordata,Actinopteri,Gadiformes,Macrouridae,Coelorhinchus,Coelorhinchus_fasciatus,NA,,,Peces,1,https://doi.org/10.3989/scimar.1999.63s1155
110,Chordata,Actinopteri,Gadiformes,Moridae ,Lepidion,Lepidion_ensiferus,,,,Peces,1,https://doi.org/10.3989/scimar.1999.63s1155
111,Chordata,Actinopteri,Gadiformes,Macrouridae,NA,Macrouridae*,,,,Peces,1,https://doi.org/10.3989/scimar.1999.63s1155
112,Chordata,Myxini,Myxiniformes,Myxinidae,NA,Myxinidae*,,,,Peces,1,https://doi.org/10.3989/scimar.1999.63s1155
113,Chordata,Actinopteri,Perciformes ,Bovichtidae ,NA,Bovichtidae* ,,,,Peces,1,https://doi.org/10.3989/scimar.1999.63s1155
114,Chordata,Elasmobranchii ,Rajiformes,Rajidae,NA,Rajidae*,,,,Condrictios,1,https://doi.org/10.3989/scimar.1999.63s1155
115,Ochrophyta ,Phaeophyceae ,Desmarestiales ,Desmarestiaceae,Desmarestia,Desmarestia_confervoides,,,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
116,Ochrophyta ,Phaeophyceae ,Desmarestiales ,Desmarestiaceae,Desmarestia,Desmarestia_distans,,,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
117,Ochrophyta ,Phaeophyceae ,Desmarestiales ,Desmarestiaceae,Desmarestia,Desmarestia_anceps,,,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
118,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sprattus,Sprattus_fueguensis,Sardina fueguina,Pelágico,"CCH, CB",Sardinas,3,https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf
119,Chordata,Actinopteri,Argentiniformes ,Bathylagidae ,Bathylagichthys,Bathylagichthys_parini,,,,Peces,3,https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf
120,Chordata,Actinopteri,Gadiformes,Muraenolepididae,Muraenolepis,Muraenolepis*,,,,Peces,3,https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf
121,Chordata,Actinopteri,Gadiformes,Merlucciidae,Macruronus,Macruronus_magellanicus,Merluza de cola,Demersal,,Peces,3,https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf
122,Chordata,Actinopteri,Perciformes ,Sebastidae ,Sebastes,Sebastes_capensis,,,,Peces,3,https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf
123,Chordata,Actinopteri,Perciformes ,Agonidae ,Agonopsis,Agonopsis_chiloensis,,,,Peces,3,https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf
124,Chordata,Actinopteri,Perciformes ,Liparidae,Paraliparis,Paraliparis_anarthractae,,,,Peces,3,https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf
125,Chordata,Actinopteri,Perciformes ,Nototheniidae,NA,Nototheniidae*,,,,Peces,3,https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf
126,Chordata,Actinopteri,Perciformes ,Harpagiferidae,Harpagifer ,Harpagifer_bispinnis,,,,Peces,3,https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf
127,Chordata,Actinopteri,Blenniiformes ,Clinidae ,Blennioclinus ,Blennioclinus* ,,,,Peces,3,https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf
128,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Hippoglossina,Hippoglossina*,,,,Peces,3,https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf
129,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Electrona,Electrona_antartica,,,,Peces,4,https://doi.org/10.1017/S095410200400207X
130,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Electrona,Electrona_carlsbergi,,,,Peces,4,https://doi.org/10.1017/S095410200400207X
131,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Gymnoscopelus,Gymnoscopelus_fraseri,,,,Peces,4,https://doi.org/10.1017/S095410200400207X
132,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Gymnoscopelus,Gymnoscopelus_hintonoides,,,,Peces,4,https://doi.org/10.1017/S095410200400207X
133,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Gymnoscopelus,Gymnoscopelus_nicholsi,,,,Peces,4,https://doi.org/10.1017/S095410200400207X
134,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Gymnoscopelus,Gymnoscopelus*,,,,Peces,4,https://doi.org/10.1017/S095410200400207X
135,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Krefftichthys,Krefftichthys_andersoni,,,,Peces,4,https://doi.org/10.1017/S095410200400207X
136,Chordata,Actinopterygii,Gadiformes,Macrouridae,NA,Macrouridae*,,,,Peces,4,https://doi.org/10.1017/S095410200400207X
137,Chordata,Actinopterygii,Gadiformes,Melanonidae,Melanonus,Melanonus_gracilis,,,,Peces,4,https://doi.org/10.1017/S095410200400207X
138,Mollusca,Cephalopoda,Teuthida,Gonatidae,Gonatus,Gonatus_antarcticus,,,,Cefalopodos,4,https://doi.org/10.1017/S095410200400207X
139,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Kondakovia ,Kondakovia _longimana,,,,Cefalopodos,4,https://doi.org/10.1017/S095410200400207X
140,Mollusca,Cephalopoda,Oegopsida,Batotheutidae,Batoteuthis,Batoteuthis_skolops,,,,Cefalopodos,4,https://doi.org/10.1017/S095410200400207X
141,Mollusca,Cephalopoda,Teuthida,Histioteuthidae,Histioteuthis,Histioteuthis*,,,,Cefalopodos,4,https://doi.org/10.1017/S095410200400207X
